country;Year;GDP.growth..annual...;GDP..current.US..
Albania;1975;NA;NA
Andorra;1975;0,542205658763677;220127246,376812
Armenia;1975;NA;NA
Australia;1975;1,34991678730046;97171924074,8327
Austria;1975;-0,363735434053538;40059206763,056
Azerbaijan;1975;NA;NA
Belarus;1975;NA;NA
Belgium;1975;-1,96594156584821;65678189097,2908
Bosnia and Herzegovina;1975;NA;NA
Bulgaria;1975;NA;NA
Croatia;1975;NA;NA
Cyprus;1975;NA;489914760,682807
Czech Republic;1975;NA;NA
Denmark;1975;-1,45664493601456;40474406216,2821
Estonia;1975;NA;NA
Finland;1975;1,80489827726724;29472623242,2822
France;1975;-0,959884746223096;360832186018,051
Georgia;1975;7,38094530055061;NA
Germany;1975;-0,866738894227723;490636517211,225
Greece;1975;6,36680874604197;28525876726,8863
Hungary;1975;NA;NA
Iceland;1975;0,646155033497564;1408989590,11061
Ireland;1975;5,65664476085033;9495165505,22648
Israel;1975;3,24281987463699;15413333333,3333
Italy;1975;-2,09016291535852;227695851126,928
Latvia;1975;NA;NA
Lithuania;1975;NA;NA
Luxembourg;1975;-6,57137138724029;3233432050,01645
Macedonia;1975;NA;NA
Malta;1975;19,5600808646514;474620439,58496
Moldova;1975;NA;NA
Monaco;1975;-0,972637493748465;711922994,225545
Montenegro;1975;NA;NA
Morocco;1975;7,55822156130436;8984824182,60333
Netherlands;1975;0,00202886228375121;100249523353,085
Norway;1975;4,95214778544401;32877805200,023
Poland;1975;NA;NA
Portugal;1975;-4,34763054504394;19347607843,1373
Romania;1975;NA;NA
Russia;1975;NA;NA
San Marino;1975;NA;NA
Serbia;1975;NA;NA
Serbia and Montenegro;1975;NA;NA
Slovakia;1975;NA;NA
Slovenia;1975;NA;NA
Spain;1975;0,542203214009334;114777046376,812
Sweden;1975;2,55286264270535;82885397620,5385
Switzerland;1975;-7,28317456437819;63570059272,4596
Turkey;1975;7,17411268977106;44633707242,7642
Ukraine;1975;NA;NA
United Kingdom;1975;-1,47364954200184;241756637168,142
Yugoslavia;1975;NA;NA
Albania;1976;NA;NA
Andorra;1976;3,30378704950793;227281024,620741
Armenia;1976;NA;NA
Australia;1976;2,58769620026857;104921215177,108
Austria;1976;4,57844543332115;42959976221,5234
Azerbaijan;1976;NA;NA
Belarus;1976;NA;NA
Belgium;1976;5,65274593317993;71113882967,6071
Bosnia and Herzegovina;1976;NA;NA
Bulgaria;1976;NA;NA
Croatia;1976;NA;NA
