From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Macedonia;Albania;1160;778;117;10,09%;15,04%;1,64%;8,45%
Montenegro;Albania;870;557;69;7,93%;12,39%;1,55%;6,39%
Greece;Albania;1160;778;88;7,59%;11,31%;1,64%;5,94%
Serbia&Montenegro;Albania;174;159;16;9,20%;10,06%;2,43%;6,77%
Switzerland;Albania;1160;778;68;5,86%;8,74%;1,64%;4,22%
Italy;Albania;754;454;37;4,91%;8,15%;1,46%;3,45%
Turkey;Albania;522;470;31;5,94%;6,60%;2,23%;3,71%
Croatia;Albania;1044;744;37;3,54%;4,97%;1,74%;1,81%
BosniaHerzegovina;Albania;638;470;21;3,29%;4,47%;1,81%;1,48%
SanMarino;Albania;812;509;22;2,71%;4,32%;1,51%;1,20%
Austria;Albania;928;613;25;2,69%;4,08%;1,62%;1,08%
Hungary;Albania;986;610;20;2,03%;3,28%;1,50%;0,53%
Azerbaijan;Albania;928;619;20;2,16%;3,23%;1,62%;0,54%
Belgium;Albania;1160;778;22;1,90%;2,83%;1,64%;0,25%
Iceland;Albania;1160;778;21;1,81%;2,70%;1,64%;0,17%
Slovenia;Albania;1160;778;18;1,55%;2,31%;1,64%;-0,09%
Bulgaria;Albania;870;548;11;1,26%;2,01%;1,52%;-0,26%
Malta;Albania;1160;778;13;1,12%;1,67%;1,64%;-0,52%
Germany;Albania;1160;778;12;1,03%;1,54%;1,64%;-0,61%
Cyprus;Albania;1102;778;12;1,09%;1,54%;1,72%;-0,63%
Czech;Albania;696;411;6;0,86%;1,46%;1,41%;-0,55%
Poland;Albania;1044;632;9;0,86%;1,42%;1,48%;-0,62%
Portugal;Albania;986;778;10;1,01%;1,29%;1,94%;-0,92%
Georgia;Albania;928;571;7;0,75%;1,23%;1,49%;-0,73%
Denmark;Albania;1160;778;9;0,78%;1,16%;1,64%;-0,87%
Finland;Albania;1160;778;9;0,78%;1,16%;1,64%;-0,87%
Sweden;Albania;1160;778;9;0,78%;1,16%;1,64%;-0,87%
UnitedKingdom;Albania;1160;778;9;0,78%;1,16%;1,64%;-0,87%
Belarus;Albania;1160;778;7;0,60%;0,90%;1,64%;-1,04%
Romania;Albania;1044;778;5;0,48%;0,64%;1,83%;-1,35%
Ireland;Albania;1160;778;4;0,34%;0,51%;1,64%;-1,30%
Norway;Albania;1160;778;3;0,26%;0,39%;1,64%;-1,39%
Russia;Albania;1044;778;3;0,29%;0,39%;1,83%;-1,54%
Serbia;Albania;928;619;2;0,22%;0,32%;1,60%;-1,39%
France;Albania;1160;778;2;0,17%;0,26%;1,64%;-1,47%
Latvia;Albania;1160;778;2;0,17%;0,26%;1,64%;-1,47%
Estonia;Albania;1160;778;1;0,09%;0,13%;1,64%;-1,56%
Netherlands;Albania;1160;778;1;0,09%;0,13%;1,64%;-1,56%
Armenia;Albania;986;473;0;0,00%;0,00%;1,17%;-1,17%
Australia;Albania;522;308;0;0,00%;0,00%;1,41%;-1,41%
Moldova;Albania;1102;672;0;0,00%;0,00%;1,49%;-1,49%
Ukraine;Albania;986;654;0;0,00%;0,00%;1,63%;-1,63%
Israel;Albania;1160;778;0;0,00%;0,00%;1,64%;-1,64%
Lithuania;Albania;1160;778;0;0,00%;0,00%;1,64%;-1,64%
Spain;Albania;1160;778;0;0,00%;0,00%;1,64%;-1,64%
Andorra;Albania;348;262;0;0,00%;0,00%;1,88%;-1,88%
