"country";"Year";"GDP growth (annual %)"
"Albania";1961;NA
"Andorra";1961;NA
"Armenia";1961;NA
"Australia";1961;2,48576949187947
"Austria";1961;5,53797931684528
"Azerbaijan";1961;NA
"Belarus";1961;NA
"Belgium";1961;4,97842306319197
"Bosnia and Herzegovina";1961;NA
"Bulgaria";1961;NA
"Croatia";1961;NA
"Cyprus";1961;NA
"Czech Republic";1961;NA
"Denmark";1961;6,37883247557384
"Estonia";1961;NA
"Finland";1961;7,60467047924426
"France";1961;4,9801118491384
"Georgia";1961;NA
"Germany";1961;NA
"Greece";1961;13,2038411934427
"Hungary";1961;NA
"Iceland";1961;-0,0846619462922718
"Ireland";1961;NA
"Israel";1961;11,2038856174685
"Italy";1961;8,20724591384771
"Latvia";1961;NA
"Lithuania";1961;NA
"Luxembourg";1961;3,8299831217405
"Macedonia";1961;NA
"Malta";1961;NA
"Moldova";1961;NA
"Monaco";1961;NA
"Montenegro";1961;NA
"Morocco";1961;NA
"Netherlands";1961;0,295546672716611
"Norway";1961;6,27333551040729
"Poland";1961;NA
"Portugal";1961;5,53490347567502
"Romania";1961;NA
"Russia";1961;NA
"San Marino";1961;NA
"Serbia";1961;NA
"Serbia and Montenegro";1961;NA
"Slovakia";1961;NA
"Slovenia";1961;NA
"Spain";1961;11,8386741948332
"Sweden";1961;5,68129280956549
"Switzerland";1961;NA
"Turkey";1961;1,15606938539699
"Ukraine";1961;NA
"United Kingdom";1961;2,67711894345372
"Yugoslavia";1961;NA
"Albania";1962;NA
"Andorra";1962;NA
"Armenia";1962;NA
"Australia";1962;1,29608735213831
"Austria";1962;2,64867511295262
"Azerbaijan";1962;NA
"Belarus";1962;NA
"Belgium";1962;5,21200350925528
"Bosnia and Herzegovina";1962;NA
"Bulgaria";1962;NA
"Croatia";1962;NA
"Cyprus";1962;NA
"Czech Republic";1962;NA
"Denmark";1962;5,66682217271807
"Estonia";1962;NA
"Finland";1962;2,98194553610325
"France";1962;6,84346998523586
"Georgia";1962;NA
"Germany";1962;NA
"Greece";1962;0,364810538216716
"Hungary";1962;NA
"Iceland";1962;8,31371274423529
"Ireland";1962;NA
"Israel";1962;10,1561171576566
