Year;Country;Performer;Song;Composers;Lyricists;Lyrics.length.category
1975;The Netherlands;Teach-In;Ding-A-Dong;Dick Bakker;Eddy Ouwens,Will Luikinga;Very long
1975;United Kingdom;The Shadows;Let Me Be The One;Paul Curtis;Unknown;Long
1975;Italy;Wess & Dori Ghezzi;Era;Shel Shapiro;Andrea Lo Vecchio;Middle
1975;France;Nicole Rieu;Et Bonjour à Toi L'artiste;Jaff Barnel,Pierre Delanoë;Unknown;Very long
1975;Luxembourg;Géraldine;Toi;Bill Martin,Phil Coulter;Bill Martin,Phil Coulter,Pierre Cour;Short
1975;Switzerland;Simone Drexel;Mikado;Simone Drexel;Unknown;Long
1975;Finland;Pihasoittajat;Old Man Fiddle;Kim Kuusi;Arthur Ridgway Spencer,Hannu Karlsson;Long
1975;Sweden;Lars Berghagen and the Dolls;Jennie, Jennie;Lars Berghagen;Unknown;Long
1975;Ireland;The Swarbriggs;That's What Friends Are For;Jimmy Swarbrigg,Tommy Swarbrigg;Unknown;Middle
1975;Spain;Sergio & Estíbaliz;Tú Volverás;Juan Carlos Calderón;Unknown;Short
1975;Israel;Shlomo Artzi;At Va'Ani;Shlomo Artzi;Ehud Manor;Short
1975;Malta;Renato;Singing This Song;Sammy Galea;M. Iris Mifsud;Short
1975;Yugoslavia;Pepel In Kri;Dan Ljubezni;Tadej Hrušovar;Dušan Velkaverh;Short
1975;Monaco;Sophie;Une Chanson C'est Une Lettre;André Popp;Boris Bergman;Long
1975;Belgium;Ann Christy;Gelukkig Zijn;Mary Boduin;Unknown;Short
1975;Portugal;Duarte Mendes;Madrugada;José Luís Tinoco;Unknown;Short
1975;Germany;Joy Fleming;Ein Lied Kann Eine Brücke Sein;Reiner Pietsch;Michael Holm;Middle
1975;Norway;Ellen Nikolaysen;You Touched My Life With Summer;Svein Hundsnes;Johnny Sareussen;Short
1975;Turkey;Semiha Yanki;Seninle Bir Dakika;Kemal Ebcioğlu;Hikmet Münir;Short
1976;United Kingdom;Brotherhood of Man;Save Your Kisses For Me;Lee Sheriden,Martin Barnes,Martin Lee,Tony Hiller;Unknown;Long
1976;France;Catherine Ferry;Un, Deux, Trois;Tony Rallo;Jean-Paul Cara;Middle
1976;Monaco;Mary Christy;Toi, La Musique Et Moi;Georges Costa;Gilbert Sinoué;Long
1976;Switzerland;Peter, Sue and Marc;Djambo, Djambo;Peter Reber;Unknown;Long
1976;Austria;Waterloo and Robinson;My Little World;Gerhard Heinz;Unknown;Middle
1976;Israel;Chocolate, Menta, Mastik;Emor Shalom;Matti Caspi;Ehud Manor;Short
1976;Italy;Romina and Al Bano;We'll Live It All Again;Detto Mariano;Albano Carrisi,Romina Power;Long
1976;Belgium;Pierre Rapsat;Judy Et Cie.;Pierre Rapsat;Eric van Hulse;Very short
1976;The Netherlands;Sandra Reemer;The Party's Over Now;Hans van Hemert;Unknown;Short
1976;Ireland;Red Hurley;When;Brendan J. Graham;Unknown;Short
1976;Finland;Fredi and The Friends;Pump-pump;Matti Kalevi Siitonen;Pertti Reponen;Long
1976;Portugal;Carlos do Carmo;Uma Flor De Verde Pinho;José Niza;Manuel Alegre;Short
1976;Greece;Mariza Koch;Panaghia Mou, Panaghia Mou;Mariza Koch;Michael Fotiades;Short
1976;Luxembourg;Jürgen Marcus;Chansons Pour Ceux Qui S'aiment;Jack White;Fred Jay,Vline Buggy;Short
1976;Germany;Les Humphries Singers;Sing, Sang, Song;Ralph Siegel;Kurt Hertha;Very long
1976;Spain;Braulio;Sobran Las Palabras;Braulio;Unknown;Short
1976;Yugoslavia;Ambasadori;Ne Mogu Skriti Svoju Bol;Slobodan Vujović;Slobodan Đurašović;Short
1976;Norway;Anne-Karine Ström;Mata Hari;Frode Thingnæs;Philip A. Kruse;Long
1977;France;Marie Myriam;L'oiseau Et L'enfant;Jean-Paul Cara;Joe Gracy;Long
1977;United Kingdom;Lynsey de Paul and Mike Moran;Rock Bottom;Lynsey de Paul,Mike Moran;Unknown;Long
1977;Ireland;The Swarbriggs Plus Two;It's Nice To Be In Love Again;Jimmy Swarbrigg,Tommy Swarbrigg;Unknown;Middle
1977;Monaco;Michèle Torr;Une Petite Française;Olivier Toussaint,Paul de Senneville;Jean Albertini;Middle
1977;Greece;Pascalis, Marianna, Robert and Bessy;Mathima Solfez;Giorgos Hatzinasios;Sevy Tillaku;Middle
1977;Switzerland;Pepe Lienhard Band;Swiss Lady;Peter Reber;Unknown;Very long
1977;Belgium;Dream Express;A Million In One, Two, Three;Luc Smets;Unknown;Very long
1977;Germany;Silver Convention;Telegram;Sylvester Levai;Michael Kunze;Middle
1977;Spain;Micky;Enseñame A Cantar;Fernando Arbex;Unknown;Long
1977;Finland;Monica Aspelund;Lapponia;Aarno Raninen;Monica Aspelund;Long
1977;Israel;Ilanit;Ah-haa-vah Hee Shir Lish-naa-yim;Eldad Shrem;Edna Peleg;Short
1977;The Netherlands;Heddy Lester;De Mallemolen;Frank Affolter;Wim Hogenkamp;Long
1977;Italy;Mia Martini;Liberà;Salvatore Fabrizio;Luigi Albertelli;Middle
1977;Norway;Anita Skorgan;Casanova;Svein Strugstad;Dag Nordtømme;Middle
1977;Portugal;Os Amigos;Portugal No Coração;Fernando Tordo;José Carlos Ary dos Santos;Middle
1977;Luxembourg;Anne Marie B.;Frère Jacques;Guy Béart,Pierre Cour;Unknown;Middle
1977;Austria;Schmetterlinge;Boom Boom Boomerang;Dr. Kurt Ostbahn,Georg 'Schurli' Herrnstadt,Herbert Zöchling-Tampier;E. Lukas Resetarits;Very long
1977;Sweden;Forbes;Beatles;Claes Bure;Sven-Olof Bagge;Short
1978;Israel;Izhar Cohen and the Alphabeta;A-Ba-Ni-Bi;Nurit Hirsh;Ehud Manor;Middle
1978;Belgium;Jean Vallée;L'amour ça Fait Chanter La Vie;Jean Vallée;Unknown;Short
1978;France;Joël Prévost;Il Y Aura Toujours Des Violons;Gérard Stern;Didier Barbelivien;Long
1978;Monaco;Caline and Olivier Toussaint;Les Jardins De Monaco;Olivier Toussaint,Paul de Senneville;Didier Barbelivien,Jean Albertini;Middle
1978;Ireland;Colm T. Wilkinson;Born To Sing;Colm C. T. Wilkinson;Unknown;Very long
