Country;Continent.part;Continent
Albania;Southeast Europe;Europe
Andorra;Southern Europe;Europe
Armenia;Western Asia;Asia
Australia;Australia;Australia
Austria;Central Europe;Europe
Azerbaijan;Western Asia;Asia
Belarus;Eastern Europe;Europe
Belgium;Western Europe;Europe
Bosnia and Herzegovina;Southern Europe;Europe
Bulgaria;Southeast Europe;Europe
Croatia;Southeast Europe;Europe
Cyprus;Western Asia;Europe
Czech Republic;Central Europe;Europe
Denmark;Northern Europe;Europe
Estonia;Northern Europe;Europe
Finland;Northern Europe;Europe
France;Western Europe;Europe
Georgia;Eastern Europe;Europe
Germany;Central Europe;Europe
Greece;Southeast Europe;Europe
Hungary;Central Europe;Europe
Iceland;Northwestern Europe;Europe
Ireland;Northwestern Europe;Europe
Israel;Western Asia;Asia
Italy;Southern Europe;Europe
Latvia;Eastern Europe;Europe
Lithuania;Eastern Europe;Europe
Luxembourg;Western Europe;Europe
Malta;Southern Europe;Europe
Moldova;Eastern Europe;Europe
Monaco;Western Europe;Europe
Montenegro;Southeast Europe;Europe
Morocco;North Africa;Africa
Netherlands;Western Europe;Europe
Macedonia;Southeast Europe;Europe
Norway;Northern Europe;Europe
Poland;Central Europe;Europe
Portugal;Southwestern Europe;Europe
Romania;Central Europe;Europe
Russia;Eastern Europe;Europe
San Marino;Southern Europe;Europe
Serbia;Central Europe;Europe
Serbia and Montenegro;Southern Europe;Europe
Slovakia;Central Europe;Europe
Slovenia;Central Europe;Europe
Spain;Southwestern Europe;Europe
Sweden;Northern Europe;Europe
Switzerland;Western Europe;Europe
Turkey;Western Asia;Asia
Ukraine;Eastern Europe;Europe
United Kingdom;Northwestern Europe;Europe
Yugoslavia;Southeast Europe;Europe
