Year;Country.of.jury;Male.count;Mean.age.category
1975;Belgium;Unknown;Unknown
1975;Finland;Unknown;Unknown
1975;France;Unknown;Unknown
1975;Germany;Unknown;Unknown
1975;Ireland;Unknown;Unknown
1975;Israel;Unknown;Unknown
1975;Italy;Unknown;Unknown
1975;Luxembourg;Unknown;Unknown
1975;Malta;Unknown;Unknown
1975;Monaco;Unknown;Unknown
1975;Norway;Unknown;Unknown
1975;Portugal;Unknown;Unknown
1975;Spain;Unknown;Unknown
1975;Sweden;Unknown;Unknown
1975;Switzerland;Unknown;Unknown
1975;The Netherlands;Unknown;Unknown
1975;Turkey;Unknown;Unknown
1975;United Kingdom;Unknown;Unknown
1975;Yugoslavia;Unknown;Unknown
1976;Austria;Unknown;Unknown
1976;Belgium;Unknown;Unknown
1976;Finland;Unknown;Unknown
1976;France;Unknown;Unknown
1976;Germany;Unknown;Unknown
1976;Greece;Unknown;Unknown
1976;Ireland;Unknown;Unknown
1976;Israel;Unknown;Unknown
1976;Italy;Unknown;Unknown
1976;Luxembourg;Unknown;Unknown
1976;Monaco;Unknown;Unknown
1976;Norway;Unknown;Unknown
1976;Portugal;Unknown;Unknown
1976;Spain;Unknown;Unknown
1976;Switzerland;Unknown;Unknown
1976;The Netherlands;Unknown;Unknown
1976;United Kingdom;Unknown;Unknown
1976;Yugoslavia;Unknown;Unknown
1977;Austria;Unknown;Unknown
1977;Belgium;Unknown;Unknown
1977;Finland;Unknown;Unknown
1977;France;Unknown;Unknown
1977;Germany;Unknown;Unknown
1977;Greece;Unknown;Unknown
1977;Ireland;Unknown;Unknown
1977;Israel;Unknown;Unknown
1977;Italy;Unknown;Unknown
1977;Luxembourg;Unknown;Unknown
1977;Monaco;Unknown;Unknown
1977;Norway;Unknown;Unknown
1977;Portugal;Unknown;Unknown
1977;Spain;Unknown;Unknown
1977;Sweden;Unknown;Unknown
1977;Switzerland;Unknown;Unknown
1977;The Netherlands;Unknown;Unknown
1977;United Kingdom;Unknown;Unknown
1978;Austria;Unknown;Unknown
1978;Belgium;Unknown;Unknown
1978;Denmark;Unknown;Unknown
1978;Finland;Unknown;Unknown
1978;France;Unknown;Unknown
1978;Germany;Unknown;Unknown
1978;Greece;Unknown;Unknown
1978;Ireland;Unknown;Unknown
1978;Israel;Unknown;Unknown
1978;Italy;Unknown;Unknown
1978;Luxembourg;Unknown;Unknown
1978;Monaco;Unknown;Unknown
1978;Norway;Unknown;Unknown
1978;Portugal;Unknown;Unknown
1978;Spain;Unknown;Unknown
1978;Sweden;Unknown;Unknown
1978;Switzerland;Unknown;Unknown
1978;The Netherlands;Unknown;Unknown
1978;Turkey;Unknown;Unknown
1978;United Kingdom;Unknown;Unknown
1979;Austria;Unknown;Unknown
1979;Belgium;Unknown;Unknown
1979;Denmark;Unknown;Unknown
1979;Finland;Unknown;Unknown
1979;France;Unknown;Unknown
1979;Germany;Unknown;Unknown
1979;Greece;Unknown;Unknown
1979;Ireland;Unknown;Unknown
1979;Israel;Unknown;Unknown
1979;Italy;Unknown;Unknown
1979;Luxembourg;Unknown;Unknown
1979;Monaco;Unknown;Unknown
1979;Norway;Unknown;Unknown
1979;Portugal;Unknown;Unknown
1979;Spain;Unknown;Unknown
1979;Sweden;Unknown;Unknown
1979;Switzerland;Unknown;Unknown
1979;The Netherlands;Unknown;Unknown
1979;United Kingdom;Unknown;Unknown
1980;Austria;Unknown;Unknown
1980;Belgium;Unknown;Unknown
1980;Denmark;Unknown;Unknown
1980;Finland;Unknown;Unknown
1980;France;Unknown;Unknown
1980;Germany;Unknown;Unknown
1980;Greece;Unknown;Unknown
1980;Ireland;Unknown;Unknown
1980;Italy;Unknown;Unknown
1980;Luxembourg;Unknown;Unknown
1980;Morocco;Unknown;Unknown
1980;Norway;Unknown;Unknown
1980;Portugal;Unknown;Unknown
1980;Spain;Unknown;Unknown
1980;Sweden;Unknown;Unknown
1980;Switzerland;Unknown;Unknown
1980;The Netherlands;Unknown;Unknown
1980;Turkey;Unknown;Unknown
1980;United Kingdom;Unknown;Unknown
1981;Austria;Unknown;Unknown
1981;Belgium;Unknown;Unknown
1981;Cyprus;Unknown;Unknown
1981;Denmark;Unknown;Unknown
1981;Finland;Unknown;Unknown
1981;France;Unknown;Unknown
1981;Germany;Unknown;Unknown
1981;Greece;Unknown;Unknown
1981;Ireland;Unknown;Unknown
1981;Israel;Unknown;Unknown
1981;Luxembourg;Unknown;Unknown
1981;Norway;Unknown;Unknown
1981;Portugal;Unknown;Unknown
1981;Spain;Unknown;Unknown
1981;Sweden;Unknown;Unknown
1981;Switzerland;Unknown;Unknown
1981;The Netherlands;Unknown;Unknown
1981;Turkey;Unknown;Unknown
1981;United Kingdom;Unknown;Unknown
1981;Yugoslavia;Unknown;Unknown
1982;Austria;Unknown;Unknown
1982;Belgium;Unknown;Unknown
1982;Cyprus;Unknown;Unknown
1982;Denmark;Unknown;Unknown
1982;Finland;Unknown;Unknown
1982;Germany;Unknown;Unknown
1982;Ireland;Unknown;Unknown
1982;Israel;Unknown;Unknown
1982;Luxembourg;Unknown;Unknown
1982;Norway;Unknown;Unknown
1982;Portugal;Unknown;Unknown
1982;Spain;Unknown;Unknown
1982;Sweden;Unknown;Unknown
1982;Switzerland;Unknown;Unknown
1982;The Netherlands;Unknown;Unknown
1982;Turkey;Unknown;Unknown
1982;United Kingdom;Unknown;Unknown
1982;Yugoslavia;Unknown;Unknown
1983;Austria;Unknown;Unknown
1983;Belgium;Unknown;Unknown
1983;Cyprus;Unknown;Unknown
1983;Denmark;Unknown;Unknown
1983;Finland;Unknown;Unknown
1983;France;Unknown;Unknown
1983;Germany;Unknown;Unknown
1983;Greece;Unknown;Unknown
1983;Israel;Unknown;Unknown
1983;Italy;Unknown;Unknown
1983;Luxembourg;Unknown;Unknown
1983;Norway;Unknown;Unknown
1983;Portugal;Unknown;Unknown
1983;Spain;Unknown;Unknown
1983;Sweden;Unknown;Unknown
1983;Switzerland;Unknown;Unknown
1983;The Netherlands;Unknown;Unknown
1983;Turkey;Unknown;Unknown
1983;United Kingdom;Unknown;Unknown
1983;Yugoslavia;Unknown;Unknown
1984;Austria;Unknown;Unknown
1984;Belgium;Unknown;Unknown
1984;Cyprus;Unknown;Unknown
1984;Denmark;Unknown;Unknown
1984;Finland;Unknown;Unknown
1984;France;Unknown;Unknown
1984;Germany;Unknown;Unknown
1984;Ireland;Unknown;Unknown
1984;Italy;Unknown;Unknown
1984;Luxembourg;Unknown;Unknown
1984;Norway;Unknown;Unknown
1984;Portugal;Unknown;Unknown
1984;Spain;Unknown;Unknown
1984;Sweden;Unknown;Unknown
1984;Switzerland;Unknown;Unknown
1984;The Netherlands;Unknown;Unknown
1984;Turkey;Unknown;Unknown
1984;United Kingdom;Unknown;Unknown
1984;Yugoslavia;Unknown;Unknown
1985;Austria;Unknown;Unknown
1985;Belgium;Unknown;Unknown
1985;Cyprus;Unknown;Unknown
1985;Denmark;Unknown;Unknown
1985;Finland;Unknown;Unknown
1985;France;Unknown;Unknown
1985;Germany;Unknown;Unknown
1985;Greece;Unknown;Unknown
1985;Ireland;Unknown;Unknown
1985;Israel;Unknown;Unknown
1985;Italy;Unknown;Unknown
1985;Luxembourg;Unknown;Unknown
1985;Norway;Unknown;Unknown
1985;Portugal;Unknown;Unknown
1985;Spain;Unknown;Unknown
1985;Sweden;Unknown;Unknown
1985;Switzerland;Unknown;Unknown
