From;To;Points given by voting;Points given to voted;Points given from voting to voted
Macedonia;Albania;1160;778;117
Montenegro;Albania;870;557;69
Greece;Albania;1160;778;88
Serbia and Montenegro;Albania;174;159;16
Switzerland;Albania;1160;778;68
Italy;Albania;754;454;37
Turkey;Albania;522;470;31
Croatia;Albania;1044;744;37
Bosnia and Herzegovina;Albania;638;470;21
San Marino;Albania;812;509;22
Austria;Albania;928;613;25
Hungary;Albania;986;610;20
Azerbaijan;Albania;928;619;20
Belgium;Albania;1160;778;22
Iceland;Albania;1160;778;21
Slovenia;Albania;1160;778;18
Bulgaria;Albania;870;548;11
Malta;Albania;1160;778;13
Germany;Albania;1160;778;12
Cyprus;Albania;1102;778;12
Czech Republic;Albania;696;411;6
Poland;Albania;1044;632;9
Portugal;Albania;986;778;10
Georgia;Albania;928;571;7
Denmark;Albania;1160;778;9
Finland;Albania;1160;778;9
Sweden;Albania;1160;778;9
United Kingdom;Albania;1160;778;9
Belarus;Albania;1160;778;7
Romania;Albania;1044;778;5
Ireland;Albania;1160;778;4
Norway;Albania;1160;778;3
Russia;Albania;1044;778;3
Serbia;Albania;928;619;2
France;Albania;1160;778;2
Latvia;Albania;1160;778;2
Estonia;Albania;1160;778;1
Netherlands;Albania;1160;778;1
Armenia;Albania;986;473;0
Australia;Albania;522;308;0
Moldova;Albania;1102;672;0
Ukraine;Albania;986;654;0
Israel;Albania;1160;778;0
Lithuania;Albania;1160;778;0
Spain;Albania;1160;778;0
Andorra;Albania;348;262;0
Monaco;Albania;174;159;0
Slovakia;Albania;232;256;0
Luxembourg;Albania;0;0;0
Morocco;Albania;0;0;0
Yugoslavia;Albania;0;0;0
Australia;Andorra;0;0;0
Italy;Andorra;0;0;0
Luxembourg;Andorra;0;0;0
Morocco;Andorra;0;0;0
Yugoslavia;Andorra;0;0;0
Albania;Andorra;348;0;0
Belarus;Andorra;348;0;0
Belgium;Andorra;348;0;0
Bosnia and Herzegovina;Andorra;348;0;0
Croatia;Andorra;348;0;0
Cyprus;Andorra;348;0;0
Denmark;Andorra;348;0;0
Estonia;Andorra;348;0;0
Finland;Andorra;348;0;0
France;Andorra;348;0;0
Germany;Andorra;348;0;0
Greece;Andorra;348;0;0
Iceland;Andorra;348;0;0
Ireland;Andorra;348;0;0
Israel;Andorra;348;0;0
Latvia;Andorra;348;0;0
Lithuania;Andorra;348;0;0
Macedonia;Andorra;348;0;0
Malta;Andorra;348;0;0
Netherlands;Andorra;348;0;0
Norway;Andorra;348;0;0
Poland;Andorra;348;0;0
Portugal;Andorra;348;0;0
Romania;Andorra;348;0;0
Russia;Andorra;348;0;0
Slovenia;Andorra;348;0;0
Spain;Andorra;348;0;0
Sweden;Andorra;348;0;0
Switzerland;Andorra;348;0;0
Turkey;Andorra;348;0;0
Ukraine;Andorra;348;0;0
United Kingdom;Andorra;348;0;0
Bulgaria;Andorra;290;0;0
Moldova;Andorra;290;0;0
Armenia;Andorra;232;0;0
Hungary;Andorra;232;0;0
Austria;Andorra;174;0;0
Czech Republic;Andorra;174;0;0
Monaco;Andorra;174;0;0
Montenegro;Andorra;174;0;0
Serbia;Andorra;174;0;0
Serbia and Montenegro;Andorra;174;0;0
Azerbaijan;Andorra;116;0;0
Georgia;Andorra;116;0;0
San Marino;Andorra;58;0;0
Slovakia;Andorra;58;0;0
Georgia;Armenia;870;1055;93
Russia;Armenia;870;1197;91
France;Armenia;986;1276;86
Bulgaria;Armenia;754;1068;70
Turkey;Armenia;348;699;44
Czech Republic;Armenia;696;791;46
Greece;Armenia;986;1276;71
Netherlands;Armenia;986;1276;66
Cyprus;Armenia;928;1102;53
Spain;Armenia;986;1276;60
Belgium;Armenia;986;1276;58
Israel;Armenia;986;1276;55
Ukraine;Armenia;812;1242;51
Belarus;Armenia;986;1276;52
Poland;Armenia;928;1235;39
Moldova;Armenia;986;1276;39
Slovakia;Armenia;174;233;7
San Marino;Armenia;754;776;21
Austria;Armenia;754;715;19
Montenegro;Armenia;812;1006;25
Romania;Armenia;870;1027;25
Germany;Armenia;986;1276;26
Macedonia;Armenia;986;1276;24
Serbia;Armenia;870;973;16
Latvia;Armenia;986;1276;17
Hungary;Armenia;870;1006;13
Malta;Armenia;986;1276;15
Sweden;Armenia;986;1276;15
Slovenia;Armenia;986;1276;12
Italy;Armenia;696;577;5
Albania;Armenia;986;1276;11
Bosnia and Herzegovina;Armenia;464;948;8
Portugal;Armenia;812;986;8
Lithuania;Armenia;986;1276;9
Iceland;Armenia;986;1276;8
Estonia;Armenia;986;1276;5
Finland;Armenia;986;1276;5
Croatia;Armenia;870;1068;4
Australia;Armenia;522;362;1
Denmark;Armenia;986;1276;3
Azerbaijan;Armenia;870;1009;0
Ireland;Armenia;986;1276;0
Norway;Armenia;986;1276;0
Switzerland;Armenia;986;1276;0
United Kingdom;Armenia;986;1276;0
Andorra;Armenia;232;558;0
Monaco;Armenia;58;129;0
Serbia and Montenegro;Armenia;58;129;0
Luxembourg;Armenia;0;0;0
Morocco;Armenia;0;0;0
Yugoslavia;Armenia;0;0;0
Sweden;Australia;522;1263;65
Iceland;Australia;522;1263;56
Poland;Australia;522;1263;54
United Kingdom;Australia;522;1263;53
Denmark;Australia;522;1263;52
Finland;Australia;522;1263;46
Germany;Australia;522;1263;45
Spain;Australia;522;1263;42
Norway;Australia;522;1263;41
Israel;Australia;522;1263;40
Moldova;Australia;522;1263;40
Hungary;Australia;522;1263;37
Romania;Australia;406;752;22
Albania;Australia;522;1263;34
Belgium;Australia;522;1263;34
Latvia;Australia;522;1263;33
Malta;Australia;522;1263;33
Netherlands;Australia;522;1263;33
Bosnia and Herzegovina;Australia;116;511;13
Austria;Australia;522;1263;30
France;Australia;522;1263;30
Macedonia;Australia;522;1263;29
Switzerland;Australia;522;1263;29
Estonia;Australia;522;1263;28
Croatia;Australia;464;1067;23
Portugal;Australia;406;752;16
Cyprus;Australia;522;1263;25
Ireland;Australia;522;1263;25
Serbia;Australia;522;1263;25
Belarus;Australia;522;1263;24
Italy;Australia;522;1263;24
Lithuania;Australia;522;1263;24
Russia;Australia;406;1090;19
Greece;Australia;522;1263;22
Bulgaria;Australia;348;783;13
Ukraine;Australia;348;783;13
Slovenia;Australia;522;1263;20
Czech Republic;Australia;522;1263;19
San Marino;Australia;522;1263;15
Azerbaijan;Australia;522;1263;11
Armenia;Australia;522;1263;9
Georgia;Australia;522;1263;9
Montenegro;Australia;522;1263;8
Andorra;Australia;0;0;0
Luxembourg;Australia;0;0;0
Monaco;Australia;0;0;0
Morocco;Australia;0;0;0
Serbia and Montenegro;Australia;0;0;0
Slovakia;Australia;0;0;0
Turkey;Australia;0;0;0
Yugoslavia;Australia;0;0;0
Turkey;Austria;464;234;23
Bulgaria;Austria;638;650;37
Switzerland;Austria;1044;1009;52
Bosnia and Herzegovina;Austria;522;351;17
Netherlands;Austria;1044;1084;51
Slovakia;Austria;116;64;3
Portugal;Austria;812;899;40
Germany;Austria;1102;1110;47
Belgium;Austria;1102;1110;45
Iceland;Austria;1044;1084;43
Slovenia;Austria;1044;1076;42
Sweden;Austria;1102;1110;43
Spain;Austria;1102;1110;41
Finland;Austria;1044;1009;36
Denmark;Austria;1044;1009;35
France;Austria;1102;1110;38
United Kingdom;Austria;1102;1110;38
Lithuania;Austria;986;975;31
Norway;Austria;1044;1084;34
Hungary;Austria;870;940;29
Estonia;Austria;1102;1110;34
Latvia;Austria;1102;1110;32
Georgia;Austria;812;940;27
Israel;Austria;1102;1110;28
Ireland;Austria;1044;1084;27
Czech Republic;Austria;580;586;13
Romania;Austria;986;959;21
Italy;Austria;754;940;20
Australia;Austria;522;586;11
Greece;Austria;1044;1076;20
Croatia;Austria;986;820;15
Moldova;Austria;870;940;16
Armenia;Austria;754;940;15
Poland;Austria;870;1050;16
Belarus;Austria;928;949;14
Ukraine;Austria;812;1050;15
Russia;Austria;986;1017;14
Malta;Austria;1102;1110;15
Serbia;Austria;754;650;8
Cyprus;Austria;1044;820;7
Albania;Austria;928;949;7
Macedonia;Austria;1044;1009;5
Montenegro;Austria;754;876;3
Azerbaijan;Austria;754;940;1
San Marino;Austria;754;940;1
Andorra;Austria;174;9;0
Monaco;Austria;116;9;0
Serbia and Montenegro;Austria;116;9;0
Luxembourg;Austria;0;0;0
Morocco;Austria;0;0;0
Yugoslavia;Austria;0;0;0
Georgia;Azerbaijan;870;1503;108
Russia;Azerbaijan;812;1590;112
Turkey;Azerbaijan;290;855;60
Ukraine;Azerbaijan;754;1359;88
Czech Republic;Azerbaijan;638;927;60
Moldova;Azerbaijan;928;1710;95
Malta;Azerbaijan;928;1710;73
Belarus;Azerbaijan;928;1710;71
Bulgaria;Azerbaijan;696;1326;51
Hungary;Azerbaijan;870;1565;59
Lithuania;Azerbaijan;928;1710;61
Bosnia and Herzegovina;Azerbaijan;406;972;34
Montenegro;Azerbaijan;812;1344;46
Greece;Azerbaijan;928;1710;53
San Marino;Azerbaijan;812;1358;42
Israel;Azerbaijan;928;1710;52
Cyprus;Azerbaijan;870;1677;51
Romania;Azerbaijan;812;1593;45
Poland;Azerbaijan;812;1326;34
Slovakia;Azerbaijan;232;723;17
Albania;Azerbaijan;928;1710;36
Andorra;Azerbaijan;116;339;7
Portugal;Azerbaijan;754;1359;28
Austria;Azerbaijan;754;1226;25
Sweden;Azerbaijan;928;1710;29
Croatia;Azerbaijan;812;1628;27
Latvia;Azerbaijan;928;1710;28
Italy;Azerbaijan;754;1226;20
Belgium;Azerbaijan;928;1710;27
Netherlands;Azerbaijan;928;1710;25
Norway;Azerbaijan;928;1710;25
