ID;Year;Which contest;Edition;Jury or televoting;From;To;Points;Is duplicate
1;1975;f;1975f;J;Belgium;Belgium;0;1
2;1975;f;1975f;J;Belgium;Finland;0;0
3;1975;f;1975f;J;Belgium;France;2;0
4;1975;f;1975f;J;Belgium;Germany;0;0
5;1975;f;1975f;J;Belgium;Ireland;12;0
6;1975;f;1975f;J;Belgium;Israel;1;0
7;1975;f;1975f;J;Belgium;Italy;6;0
8;1975;f;1975f;J;Belgium;Luxembourg;0;0
9;1975;f;1975f;J;Belgium;Malta;7;0
10;1975;f;1975f;J;Belgium;Monaco;0;0
11;1975;f;1975f;J;Belgium;Norway;0;0
12;1975;f;1975f;J;Belgium;Portugal;0;0
13;1975;f;1975f;J;Belgium;Spain;4;0
14;1975;f;1975f;J;Belgium;Sweden;0;0
15;1975;f;1975f;J;Belgium;Switzerland;8;0
16;1975;f;1975f;J;Belgium;Netherlands;3;0
17;1975;f;1975f;J;Belgium;Turkey;0;0
18;1975;f;1975f;J;Belgium;United Kingdom;10;0
19;1975;f;1975f;J;Belgium;Yugoslavia;5;0
20;1975;f;1975f;J;Finland;Belgium;0;0
21;1975;f;1975f;J;Finland;Finland;0;1
22;1975;f;1975f;J;Finland;France;0;0
23;1975;f;1975f;J;Finland;Germany;0;0
24;1975;f;1975f;J;Finland;Ireland;1;0
25;1975;f;1975f;J;Finland;Israel;3;0
26;1975;f;1975f;J;Finland;Italy;12;0
27;1975;f;1975f;J;Finland;Luxembourg;5;0
28;1975;f;1975f;J;Finland;Malta;0;0
29;1975;f;1975f;J;Finland;Monaco;2;0
30;1975;f;1975f;J;Finland;Norway;0;0
31;1975;f;1975f;J;Finland;Portugal;0;0
32;1975;f;1975f;J;Finland;Spain;8;0
33;1975;f;1975f;J;Finland;Sweden;6;0
34;1975;f;1975f;J;Finland;Switzerland;4;0
35;1975;f;1975f;J;Finland;Netherlands;10;0
36;1975;f;1975f;J;Finland;Turkey;0;0
37;1975;f;1975f;J;Finland;United Kingdom;7;0
38;1975;f;1975f;J;Finland;Yugoslavia;0;0
39;1975;f;1975f;J;France;Belgium;0;0
40;1975;f;1975f;J;France;Finland;0;0
41;1975;f;1975f;J;France;France;0;1
42;1975;f;1975f;J;France;Germany;0;0
43;1975;f;1975f;J;France;Ireland;6;0
44;1975;f;1975f;J;France;Israel;1;0
45;1975;f;1975f;J;France;Italy;4;0
46;1975;f;1975f;J;France;Luxembourg;3;0
47;1975;f;1975f;J;France;Malta;8;0
48;1975;f;1975f;J;France;Monaco;0;0
49;1975;f;1975f;J;France;Norway;0;0
50;1975;f;1975f;J;France;Portugal;2;0
51;1975;f;1975f;J;France;Spain;0;0
52;1975;f;1975f;J;France;Sweden;7;0
53;1975;f;1975f;J;France;Switzerland;10;0
54;1975;f;1975f;J;France;Netherlands;5;0
55;1975;f;1975f;J;France;Turkey;0;0
56;1975;f;1975f;J;France;United Kingdom;12;0
57;1975;f;1975f;J;France;Yugoslavia;0;0
58;1975;f;1975f;J;Germany;Belgium;7;0
59;1975;f;1975f;J;Germany;Finland;12;0
60;1975;f;1975f;J;Germany;France;0;0
61;1975;f;1975f;J;Germany;Germany;0;1
62;1975;f;1975f;J;Germany;Ireland;0;0
63;1975;f;1975f;J;Germany;Israel;1;0
64;1975;f;1975f;J;Germany;Italy;4;0
65;1975;f;1975f;J;Germany;Luxembourg;0;0
66;1975;f;1975f;J;Germany;Malta;0;0
67;1975;f;1975f;J;Germany;Monaco;3;0
68;1975;f;1975f;J;Germany;Norway;0;0
69;1975;f;1975f;J;Germany;Portugal;0;0
70;1975;f;1975f;J;Germany;Spain;5;0
71;1975;f;1975f;J;Germany;Sweden;0;0
72;1975;f;1975f;J;Germany;Switzerland;6;0
73;1975;f;1975f;J;Germany;Netherlands;8;0
74;1975;f;1975f;J;Germany;Turkey;0;0
75;1975;f;1975f;J;Germany;United Kingdom;10;0
76;1975;f;1975f;J;Germany;Yugoslavia;2;0
77;1975;f;1975f;J;Ireland;Belgium;0;0
78;1975;f;1975f;J;Ireland;Finland;5;0
79;1975;f;1975f;J;Ireland;France;12;0
80;1975;f;1975f;J;Ireland;Germany;0;0
81;1975;f;1975f;J;Ireland;Ireland;0;1
82;1975;f;1975f;J;Ireland;Israel;1;0
83;1975;f;1975f;J;Ireland;Italy;6;0
84;1975;f;1975f;J;Ireland;Luxembourg;10;0
85;1975;f;1975f;J;Ireland;Malta;0;0
86;1975;f;1975f;J;Ireland;Monaco;0;0
87;1975;f;1975f;J;Ireland;Norway;0;0
88;1975;f;1975f;J;Ireland;Portugal;0;0
89;1975;f;1975f;J;Ireland;Spain;7;0
90;1975;f;1975f;J;Ireland;Sweden;0;0
91;1975;f;1975f;J;Ireland;Switzerland;2;0
92;1975;f;1975f;J;Ireland;Netherlands;8;0
93;1975;f;1975f;J;Ireland;Turkey;0;0
94;1975;f;1975f;J;Ireland;United Kingdom;3;0
95;1975;f;1975f;J;Ireland;Yugoslavia;4;0
96;1975;f;1975f;J;Israel;Belgium;0;0
97;1975;f;1975f;J;Israel;Finland;8;0
98;1975;f;1975f;J;Israel;France;7;0
99;1975;f;1975f;J;Israel;Germany;0;0
100;1975;f;1975f;J;Israel;Ireland;0;0
101;1975;f;1975f;J;Israel;Israel;0;1
102;1975;f;1975f;J;Israel;Italy;5;0
103;1975;f;1975f;J;Israel;Luxembourg;6;0
104;1975;f;1975f;J;Israel;Malta;1;0
105;1975;f;1975f;J;Israel;Monaco;2;0
106;1975;f;1975f;J;Israel;Norway;0;0
107;1975;f;1975f;J;Israel;Portugal;0;0
108;1975;f;1975f;J;Israel;Spain;4;0
109;1975;f;1975f;J;Israel;Sweden;3;0
110;1975;f;1975f;J;Israel;Switzerland;0;0
111;1975;f;1975f;J;Israel;Netherlands;12;0
112;1975;f;1975f;J;Israel;Turkey;0;0
113;1975;f;1975f;J;Israel;United Kingdom;10;0
114;1975;f;1975f;J;Israel;Yugoslavia;0;0
115;1975;f;1975f;J;Italy;Belgium;0;0
116;1975;f;1975f;J;Italy;Finland;0;0
117;1975;f;1975f;J;Italy;France;8;0
118;1975;f;1975f;J;Italy;Germany;0;0
119;1975;f;1975f;J;Italy;Ireland;4;0
120;1975;f;1975f;J;Italy;Israel;2;0
121;1975;f;1975f;J;Italy;Italy;0;1
122;1975;f;1975f;J;Italy;Luxembourg;10;0
123;1975;f;1975f;J;Italy;Malta;0;0
124;1975;f;1975f;J;Italy;Monaco;5;0
125;1975;f;1975f;J;Italy;Norway;7;0
126;1975;f;1975f;J;Italy;Portugal;0;0
127;1975;f;1975f;J;Italy;Spain;6;0
128;1975;f;1975f;J;Italy;Sweden;0;0
129;1975;f;1975f;J;Italy;Switzerland;12;0
130;1975;f;1975f;J;Italy;Netherlands;1;0
131;1975;f;1975f;J;Italy;Turkey;0;0
132;1975;f;1975f;J;Italy;United Kingdom;3;0
133;1975;f;1975f;J;Italy;Yugoslavia;0;0
134;1975;f;1975f;J;Luxembourg;Belgium;0;0
135;1975;f;1975f;J;Luxembourg;Finland;6;0
136;1975;f;1975f;J;Luxembourg;France;0;0
137;1975;f;1975f;J;Luxembourg;Germany;8;0
138;1975;f;1975f;J;Luxembourg;Ireland;0;0
139;1975;f;1975f;J;Luxembourg;Israel;1;0
140;1975;f;1975f;J;Luxembourg;Italy;3;0
141;1975;f;1975f;J;Luxembourg;Luxembourg;0;1
142;1975;f;1975f;J;Luxembourg;Malta;5;0
143;1975;f;1975f;J;Luxembourg;Monaco;4;0
144;1975;f;1975f;J;Luxembourg;Norway;0;0
145;1975;f;1975f;J;Luxembourg;Portugal;0;0
146;1975;f;1975f;J;Luxembourg;Spain;0;0
147;1975;f;1975f;J;Luxembourg;Sweden;7;0
148;1975;f;1975f;J;Luxembourg;Switzerland;2;0
149;1975;f;1975f;J;Luxembourg;Netherlands;10;0
150;1975;f;1975f;J;Luxembourg;Turkey;0;0
151;1975;f;1975f;J;Luxembourg;United Kingdom;12;0
152;1975;f;1975f;J;Luxembourg;Yugoslavia;0;0
153;1975;f;1975f;J;Malta;Belgium;0;0
154;1975;f;1975f;J;Malta;Finland;0;0
155;1975;f;1975f;J;Malta;France;7;0
156;1975;f;1975f;J;Malta;Germany;3;0
157;1975;f;1975f;J;Malta;Ireland;4;0
158;1975;f;1975f;J;Malta;Israel;0;0
159;1975;f;1975f;J;Malta;Italy;10;0
160;1975;f;1975f;J;Malta;Luxembourg;5;0
161;1975;f;1975f;J;Malta;Malta;0;1
162;1975;f;1975f;J;Malta;Monaco;1;0
163;1975;f;1975f;J;Malta;Norway;0;0
164;1975;f;1975f;J;Malta;Portugal;0;0
165;1975;f;1975f;J;Malta;Spain;0;0
166;1975;f;1975f;J;Malta;Sweden;2;0
167;1975;f;1975f;J;Malta;Switzerland;6;0
168;1975;f;1975f;J;Malta;Netherlands;12;0
169;1975;f;1975f;J;Malta;Turkey;0;0
170;1975;f;1975f;J;Malta;United Kingdom;8;0
171;1975;f;1975f;J;Malta;Yugoslavia;0;0
172;1975;f;1975f;J;Monaco;Belgium;0;0
173;1975;f;1975f;J;Monaco;Finland;8;0
174;1975;f;1975f;J;Monaco;France;7;0
175;1975;f;1975f;J;Monaco;Germany;0;0
176;1975;f;1975f;J;Monaco;Ireland;0;0
177;1975;f;1975f;J;Monaco;Israel;0;0
178;1975;f;1975f;J;Monaco;Italy;1;0
179;1975;f;1975f;J;Monaco;Luxembourg;0;0
180;1975;f;1975f;J;Monaco;Malta;0;0
181;1975;f;1975f;J;Monaco;Monaco;0;1
182;1975;f;1975f;J;Monaco;Norway;2;0
183;1975;f;1975f;J;Monaco;Portugal;0;0
184;1975;f;1975f;J;Monaco;Spain;4;0
185;1975;f;1975f;J;Monaco;Sweden;6;0
186;1975;f;1975f;J;Monaco;Switzerland;5;0
187;1975;f;1975f;J;Monaco;Netherlands;10;0
188;1975;f;1975f;J;Monaco;Turkey;3;0
189;1975;f;1975f;J;Monaco;United Kingdom;12;0
190;1975;f;1975f;J;Monaco;Yugoslavia;0;0
191;1975;f;1975f;J;Norway;Belgium;0;0
192;1975;f;1975f;J;Norway;Finland;10;0
193;1975;f;1975f;J;Norway;France;0;0
194;1975;f;1975f;J;Norway;Germany;0;0
195;1975;f;1975f;J;Norway;Ireland;4;0
196;1975;f;1975f;J;Norway;Israel;5;0
197;1975;f;1975f;J;Norway;Italy;6;0
198;1975;f;1975f;J;Norway;Luxembourg;0;0
199;1975;f;1975f;J;Norway;Malta;2;0
200;1975;f;1975f;J;Norway;Monaco;0;0
201;1975;f;1975f;J;Norway;Norway;0;1
202;1975;f;1975f;J;Norway;Portugal;0;0
203;1975;f;1975f;J;Norway;Spain;3;0
204;1975;f;1975f;J;Norway;Sweden;8;0
205;1975;f;1975f;J;Norway;Switzerland;1;0
206;1975;f;1975f;J;Norway;Netherlands;12;0
207;1975;f;1975f;J;Norway;Turkey;0;0
208;1975;f;1975f;J;Norway;United Kingdom;7;0
209;1975;f;1975f;J;Norway;Yugoslavia;0;0
210;1975;f;1975f;J;Portugal;Belgium;0;0
211;1975;f;1975f;J;Portugal;Finland;0;0
212;1975;f;1975f;J;Portugal;France;12;0
213;1975;f;1975f;J;Portugal;Germany;0;0
214;1975;f;1975f;J;Portugal;Ireland;4;0
215;1975;f;1975f;J;Portugal;Israel;0;0
216;1975;f;1975f;J;Portugal;Italy;10;0
217;1975;f;1975f;J;Portugal;Luxembourg;8;0
218;1975;f;1975f;J;Portugal;Malta;0;0
219;1975;f;1975f;J;Portugal;Monaco;3;0
220;1975;f;1975f;J;Portugal;Norway;0;0
221;1975;f;1975f;J;Portugal;Portugal;0;1
222;1975;f;1975f;J;Portugal;Spain;0;0
223;1975;f;1975f;J;Portugal;Sweden;6;0
224;1975;f;1975f;J;Portugal;Switzerland;2;0
225;1975;f;1975f;J;Portugal;Netherlands;7;0
