country;continent_part;continents;continent
Albania;Southeast Europe;Europe;Europe
Andorra;Southern Europe;Europe;Europe
Armenia;Western Asia;Europe & Asia;Asia
Australia;Australia;Australia;Australia
Austria;Central Europe;Europe;Europe
Azerbaijan;Western Asia;Europe & Asia;Asia
Belarus;Eastern Europe;Europe;Europe
Belgium;Western Europe;Europe;Europe
Bosnia and Herzegovina;Southern Europe;Europe;Europe
Bulgaria;Southeast Europe;Europe;Europe
Croatia;Southeast Europe;Europe;Europe
Cyprus;Western Asia;Europe & Asia;Europe
Czech Republic;Central Europe;Europe;Europe
Denmark;Northern Europe;Europe;Europe
Estonia;Northern Europe;Europe;Europe
Finland;Northern Europe;Europe;Europe
France;Western Europe;Europe;Europe
Georgia;Eastern Europe;Europe & Asia;Europe
Germany;Central Europe;Europe;Europe
Greece;Southeast Europe;Europe;Europe
Hungary;Central Europe;Europe;Europe
Iceland;Northwestern Europe;Europe & North America;Europe
Ireland;Northwestern Europe;Europe;Europe
Israel;Western Asia;Europe & Asia;Asia
Italy;Southern Europe;Europe;Europe
Latvia;Eastern Europe;Europe;Europe
Lithuania;Eastern Europe;Europe;Europe
Luxembourg;Western Europe;Europe;Europe
Malta;Southern Europe;Europe;Europe
Moldova;Eastern Europe;Europe;Europe
Monaco;Western Europe;Europe;Europe
Montenegro;Southeast Europe;Europe;Europe
Morocco;North Africa;Africa;Africa
Netherlands;Western Europe;Europe;Europe
Macedonia;Southeast Europe;Europe;Europe
Norway;Northern Europe;Europe;Europe
Poland;Central Europe;Europe;Europe
Portugal;Southwestern Europe;Europe;Europe
Romania;Central Europe;Europe;Europe
Russia;Eastern Europe;Europe & Asia;Europe
San Marino;Southern Europe;Europe;Europe
Serbia;Central Europe;Europe;Europe
Serbia and Montenegro;Southern Europe;Europe;Europe
Slovakia;Central Europe;Europe;Europe
Slovenia;Central Europe;Europe;Europe
Spain;Southwestern Europe;Europe;Europe
Sweden;Northern Europe;Europe;Europe
Switzerland;Western Europe;Europe;Europe
Turkey;Western Asia;Europe & Asia;Asia
Ukraine;Eastern Europe;Europe;Europe
United Kingdom;Northwestern Europe;Europe;Europe
Yugoslavia;Southeast Europe;Europe;Europe
