From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
Albania;Andorra;348;0;0;0%;nan%;0%
Albania;Armenia;986;1276;11;1.116%;0.8621%;3.147%
Albania;Australia;522;1263;34;6.513%;2.692%;5.791%
Albania;Austria;928;949;7;0.7543%;0.7376%;2.502%
Albania;Azerbaijan;928;1710;36;3.879%;2.105%;4.46%
Albania;Belarus;1160;368;2;0.1724%;0.5435%;0.7776%
Albania;Belgium;1160;982;6;0.5172%;0.611%;2.075%
Albania;BosniaHerzegovina;638;952;48;7.524%;5.042%;3.664%
Albania;Bulgaria;870;1245;46;5.287%;3.695%;3.457%
Albania;Croatia;1044;511;9;0.8621%;1.761%;1.192%
Albania;Cyprus;1102;1028;40;3.63%;3.891%;2.275%
Albania;Czech;696;479;1;0.1437%;0.2088%;1.642%
Albania;Denmark;1160;1367;3;0.2586%;0.2195%;2.888%
Albania;Estonia;1160;739;8;0.6897%;1.083%;1.561%
Albania;Finland;1160;590;0;0%;0%;1.247%
Albania;France;1160;1104;41;3.534%;3.714%;2.333%
Albania;Georgia;928;631;0;0%;0%;1.646%
Albania;Germany;1160;1132;49;4.224%;4.329%;2.392%
Albania;Greece;1160;1772;129;11.12%;7.28%;3.744%
Albania;Hungary;986;944;24;2.434%;2.542%;2.315%
Albania;Iceland;1160;783;6;0.5172%;0.7663%;1.654%
Albania;Ireland;1160;436;12;1.034%;2.752%;0.9212%
Albania;Israel;1160;1241;25;2.155%;2.015%;2.622%
Albania;Italy;754;1979;132;17.51%;6.67%;6.354%
Albania;Latvia;1160;638;0;0%;0%;1.348%
Albania;Lithuania;1160;774;4;0.3448%;0.5168%;1.635%
Albania;Luxembourg;0;0;0;nan%;nan%;nan%
Albania;Macedonia;1160;604;48;4.138%;7.947%;1.276%
Albania;Malta;1160;727;11;0.9483%;1.513%;1.536%
Albania;Moldova;1102;1207;2;0.1815%;0.1657%;2.668%
Albania;Monaco;174;0;0;0%;nan%;0%
Albania;Montenegro;870;81;12;1.379%;14.81%;0.2249%
Albania;Morocco;0;0;0;nan%;nan%;nan%
Albania;Netherlands;1160;1285;11;0.9483%;0.856%;2.715%
Albania;Norway;1160;1789;21;1.81%;1.174%;3.78%
Albania;Poland;1044;406;5;0.4789%;1.232%;0.9524%
Albania;Portugal;986;966;14;1.42%;1.449%;2.403%
